Height,Width,CenterX,CenterY,Area,Perimeter,Compactness,MajorAxis,MinorAxis,Orientation,Eccentricity,HuMoment1,HuMoment2,HuMoment3,HuMoment4,HuMoment5,HuMoment6,HuMoment7,Class
359,225,59.31079478,83.86951364,2529,477.967,0.8608885532,98.26567726,40.20493175,-18.41059347,0.9124692829,0.4692609434,0.1072342774,0.004606186389,0.002299194162,0.000007367015,0.000751424922,-0.0000015267,1
366,231,136.5639668,227.0435906,23606,3833.285,0.979812151,308.5000208,191.7207756,-74.06728362,0.7834449869,0.4002209959,0.06282482491,0.003489444836,0.00216917532,0.000005807192,0.000535714172,-0.000001166789,1
378,240,139.0237173,222.2806666,28924,3584.313,0.9717084747,352.3887943,200.744838,-76.44567132,0.8218744817,0.3531506536,0.04113281912,0.00275622893,0.001167141953,0.000001935397,0.000232655789,-0.000000760499,1
374,250,82.83291139,86.66638537,3555,820.683,0.9336717415,132.0963293,58.2346999,-5.466281466,0.8975806684,0.3347413233,0.03468932061,0.001133324477,0.00074779396,0.00000054912,0.000139266914,-0.000000379937,1
382,230,131.7922596,235.9545184,26846,2663.62,0.9524506138,302.1192524,191.262805,-87.29969034,0.7740940918,0.3318951889,0.03812434062,0.001599489528,0.000991697165,0.000001115053,0.000192155835,-0.000000507707,1
391,246,131.9110617,202.120629,33259,3665.727,0.9688972482,392.0391452,196.0819829,-87.62535417,0.8659334736,0.3610933921,0.04689231752,0.000094732204,0.000266227487,0.000000034452,0.000020597565,0.00000001086,1
363,260,139.2559728,176.7758821,37043,3462.263,0.9611674503,370.2909783,202.2010845,83.45299119,0.8377460817,0.3003413277,0.02636527733,0.000237520189,0.000077078054,-0.000000010244,-0.000010675223,-0.00000000213,1
359,259,136.3301088,173.997326,38145,3413.85,0.9588700091,365.2710402,199.3190575,76.70784164,0.8379972815,0.2797675055,0.01838364855,0.000285430762,0.000087780154,-0.000000011521,-0.000000519828,0.000000000332,1
368,272,147.2053236,185.0452233,40687,2927.203,0.9403294763,366.9346767,201.3224476,71.45319137,0.8360454542,0.2690813796,0.02089858597,0.000014640997,0.00002816208,-0.000000000357,-0.000002831136,-0.000000000286,1
525,292,146.6564995,339.9621724,42588,3290.877,0.9505832922,374.0023583,207.5429587,66.4552985,0.8319009164,0.3083372681,0.02920402026,0.00298033127,0.00311376925,0.000009485451,0.000354829957,0.000000061825,1
369,272,137.1846033,183.5366015,40736,3326.304,0.9537337426,349.5261381,199.6145929,70.74565145,0.820880068,0.2557814561,0.01875212096,0.000248915179,0.000059778101,0.000000005136,0.000008089797,0.000000004875,1
377,260,141.3120004,178.4980536,38532,2716.671,0.934391921,366.0425428,216.3654921,81.13266288,0.8066027974,0.2932692779,0.0199935483,0.001562872137,0.000263883058,0.000000124221,0.000035623545,-0.000000114198,1
379,260,140.8002469,179.7130585,40510,2785.991,0.9344137668,367.6190846,215.5577974,82.38148646,0.810049264,0.2802157959,0.01871571963,0.001299021913,0.00029130968,0.000000163288,0.000037483167,-0.000000003446,1
382,258,140.1581932,181.7328956,39142,3674.659,0.9635733872,370.3084367,211.4669326,81.55674161,0.8209109601,0.290373719,0.02177590519,0.001403875996,0.000303923486,0.000000146815,0.000044422449,0.000000046326,1
383,246,132.4148544,180.713407,40971,4091.141,0.9692392066,378.0035419,212.096299,81.15368608,0.8277506923,0.2866047752,0.02230532816,0.001649375753,0.000317404963,0.000000212149,0.000046810078,0.000000082644,1
383,251,126.232519,178.1089655,45106,3108.913,0.9413555332,378.8104149,215.8609368,78.90423541,0.8217563799,0.2633957551,0.01802781271,0.001406529659,0.000195452121,0.000000098507,0.000025815794,0.000000028156,1
376,259,126.4064532,174.4812359,47511,2364.559,0.8932166047,370.0056381,219.7911833,75.60090401,0.8044494053,0.2436488636,0.01358249536,0.001427946128,0.000236414734,0.000000134121,0.000027168301,0.000000034355,1
371,268,119.0200768,178.7479094,53096,2350.632,0.8792457623,362.3102599,216.8830108,66.83779829,0.8010396543,0.2098948773,0.009831847281,0.000807946096,0.000126067214,0.00000003999,0.000011666404,0.000000040785,1
341,280,118.3749552,156.7993772,52985,2012.983,0.8356829656,354.6113514,217.6259632,58.3714063,0.7895371612,0.2042088295,0.00854869563,0.000984725259,0.000113605743,0.000000029854,0.000007583741,0.000000142078,1
412,302,128.5192194,241.3382468,52577,2307.133,0.8758746735,347.5316887,218.8813984,50.58769458,0.7767434761,0.214092225,0.009961639186,0.000892633375,0.000005778125,0.000000000291,0.000000158913,-0.000000024863,1
330,306,133.9986798,164.3626332,50751,2444.73,0.8932930604,342.1833896,217.3516922,47.58776116,0.772355377,0.2023933338,0.007396327841,0.001629347428,0.000080528655,-0.000000004047,0.000000859271,0.000000386828,1
332,297,140.6071704,152.0486105,53219,1899.461,0.8146400892,362.4742226,212.6805023,52.1166519,0.8097706325,0.207425717,0.01023668778,0.001387431974,0.000136140558,0.000000050801,0.000011677749,0.000000267675,1
362,307,144.8175833,182.4888527,54677,1926.827,0.814932953,374.1529454,216.8901148,52.91030508,0.8148420578,0.2138051654,0.01128518272,0.001564641876,0.000118839742,0.000000043921,0.000011532695,0.000000262246,1
329,305,144.0773137,151.8694818,54751,1672.893,0.7541526157,369.2850965,214.7223548,50.5583566,0.8135791677,0.2083143425,0.0106175493,0.00150850138,0.000183206625,0.00000008701,0.00001655561,0.000000281783,1
327,300,142.0336722,152.7194538,53902,1810.5,0.7933584335,368.486241,211.5912295,50.93547033,0.818702828,0.2093598006,0.01113652072,0.001512669117,0.000190923636,0.000000095333,0.000018268337,0.000000268216,1
